type,name,canonical,ttl,comment,disabled,zone
cname,www.privor.ch,privor.ch,14400,,False,privor.ch
cname,autodiscover.proventx.ch,autodiscover.outlook.com,120,,False,proventx.ch
cname,abna.pvs-visana.ch,visana-web.int.visana.magnolia-platform.io,14400,,False,pvs-visana.ch
cname,www.abna.pvs-visana.ch,visana-web.int.visana.magnolia-platform.io,14400,,False,pvs-visana.ch
cname,www.pvs-visana.ch,visana-web.prod.visana-prod.magnolia-platform.io,14400,,False,pvs-visana.ch
cname,www.regionalbanken.ch,regionalbanken.ch,14400,,False,regionalbanken.ch
cname,selector1._domainkey.romontschia.ch,selector1-romontschia-ch._domainkey.albinkistlerag.onmicrosoft.com,14400,,False,romontschia.ch
cname,selector2._domainkey.romontschia.ch,selector2-romontschia-ch._domainkey.albinkistlerag.onmicrosoft.com,14400,,False,romontschia.ch
cname,b2c.sana-24.ch,magellan6.visana.ch,14400,,False,sana-24.ch
cname,www.sana-24.ch,sana-24.ch,14400,,False,sana-24.ch
cname,wwwsec.sana-24.ch,magellan5.visana.ch,14400,,False,sana-24.ch
cname,b2c.sana24.ch,magellan6.visana.ch,14400,,False,sana24.ch
cname,www.sana24.ch,sana24.ch,14400,,False,sana24.ch
cname,wwwsec.sana24.ch,magellan5.visana.ch,14400,,False,sana24.ch
cname,www.saveyourfriends.ch,saveyourfriends.ch,14400,,False,saveyourfriends.ch
cname,autodiscover.stratusworks.ch,autodiscover.outlook.com,3600,,False,stratusworks.ch
cname,autodiscover.swissic.ch,autodiscover.outlook.com,14400,,False,swissic.ch
cname,autodiscover.iamtst.swissic.ch,autodiscover.outlook.com,14400,,False,swissic.ch
cname,www.visana-ag.ch,visana-ag.ch,14400,,False,visana-ag.ch
cname,www.visana-club.ch,visana-club.ch,14400,,False,visana-club.ch
cname,63810308.visana.ch,google.com,3600,,False,visana.ch
cname,mailing._domainkey.visana.ch,dkim.srv2.de,14400,,False,visana.ch
cname,aladin.abna.visana.ch,visana-intranet.int.visanaintra.magnolia-platform.io,14400,,False,visana.ch
cname,pwr.abna.visana.ch,dualstack.j.sni.global.fastly.net,14400,,False,visana.ch
cname,author.abna-aladin.visana.ch,visana-intranet.int.visanaintra.magnolia-platform.io,14400,,False,visana.ch
cname,abna-author-aladin.visana.ch,visana-intranet.int.visanaintra.magnolia-platform.io,14400,,False,visana.ch
cname,ai.visana.ch,relaunch.prod.visana-prod.magnolia-platform.io,14400,,False,visana.ch
cname,autodiscover.visana.ch,vss-hybrid.visana.ch,14400,,False,visana.ch
cname,fb.visana.ch,visana.swissonlinepublishing.ch,14400,,False,visana.ch
cname,home.visana.ch,proxy-ssl.webflow.com,14400,,False,visana.ch
cname,fr.home.visana.ch,websites.weglot.com,14400,,False,visana.ch
cname,it.home.visana.ch,websites.weglot.com,14400,,False,visana.ch
cname,lokalsponsoring.visana.ch,ex9dyw21ew3k.optimytool.com,14400,,False,visana.ch
cname,portxprod.visana.ch,curaxprod.visana.ch,14400,,False,visana.ch
cname,web.visana.ch,analytics.clickdimensions.com,14400,,False,visana.ch
cname,www.visana.ch,dualstack.j.sni.global.fastly.net,14400,,False,visana.ch
cname,_acme-challenge.www.visana.ch,a56f940d-46dc-489b-9d27-c4e5ef9dc961.auth.mirohost.ch,60,,False,visana.ch
cname,www.visanaclub.ch,visanaclub.ch,14400,,False,visanaclub.ch
cname,certauth.az-adfs.visanatest.ch,az-adfs.visanatest.ch,14400,,False,visanatest.ch
cname,www.viva-care.ch,viva-care.ch,14400,,False,viva-care.ch
cname,www.vivacare.ch,vivacare.ch,14400,,False,vivacare.ch
cname,_domainconnect.vorsorge-konto.ch,_domainconnect.ispgateway.de,14400,,False,vorsorge-konto.ch
cname,autodiscover.vorsorge-konto.ch,autodiscover.mail-ch.ch,14400,,False,vorsorge-konto.ch
cname,imap.vorsorge-konto.ch,imap.mail-ch.ch,14400,,False,vorsorge-konto.ch
cname,owa.vorsorge-konto.ch,owa.mail-ch.ch,14400,,False,vorsorge-konto.ch
cname,pop.vorsorge-konto.ch,pop.mail-ch.ch,14400,,False,vorsorge-konto.ch
cname,pop3.vorsorge-konto.ch,pop.mail-ch.ch,14400,,False,vorsorge-konto.ch
cname,smtp.vorsorge-konto.ch,smtp.mail-ch.ch,14400,,False,vorsorge-konto.ch
cname,webmail.vorsorge-konto.ch,owa.mail-ch.ch,14400,,False,vorsorge-konto.ch
cname,www.vorsorge-konto.ch,vorsorge-konto.ch,14400,,False,vorsorge-konto.ch
cname,www.vsrb.ch,vsrb.ch,14400,,False,vsrb.ch
cname,www,inventx.ch,3600,,False,inventix.ch
cname,bouncing,che.pb-dynmktge.com,900,,False,inventx-events.ch
cname,chekey1._domainkey,chekey1inventxeventsch.k01.dyn365mktg.com,900,,False,inventx-events.ch
cname,chekey2._domainkey,chekey2inventxeventsch.k01.dyn365mktg.com,900,,False,inventx-events.ch
cname,migrationtest2,migrationtest.inventx-events.ch,1,,False,inventx-events.ch
