type,name,text,ttl,comment,disabled,zone
txt,survalyzer2._domainkey.gkb.ch,"""""v=DKIM1""",14400,,False,gkb.ch
txt,capricorn.gkb.ch,"""v=spf1 include:mailomat.cloud -all""",14400,,False,gkb.ch
txt,mom1._domainkey.capricorn.gkb.ch,"""""v=DKIM1""",14400,,False,gkb.ch
txt,mail.engagement.gkb.ch,"""v=spf1 include:spf.mandrillapp.com ?all""",300,,False,gkb.ch
txt,mail.engagement.gkb.ch,"""mandrill_verify.9Tpnx15UdDxKgE6ccoubqg""",300,,False,gkb.ch
txt,_dmarc.mail.engagement.gkb.ch,"""""v=DMARC1""",14400,,False,gkb.ch
txt,falknis.gkb.ch,"""v=spf1 mx -all""",900,,False,gkb.ch
txt,asuid.feedback.gkb.ch,"""1D3190AAAAC051E920C7DC92C03675E2E668EB9F45CF30CAE81B4AA04DD89178""",14400,,False,gkb.ch
txt,_zitadel-challenge.kids.gkb.ch,"""AbrGa16x82uej6CuMHqo8aNi5pFtNJfJ""",14400,,False,gkb.ch
txt,_zitadel-challenge.kids-test.gkb.ch,"""XPQnrkpUatd01p5Oj24gxUMz8dVklVV3""",14400,,False,gkb.ch
txt,mx1.gkb.ch,"""v=spf1 include:gkb.ch ~all""",14400,,False,gkb.ch
txt,mx2.gkb.ch,"""v=spf1 include:gkb.ch ~all""",14400,,False,gkb.ch
txt,asuid.produktinformationen.gkb.ch,"""B910BD3B763E8503A41EDBFBBE0E791C5CB493A1114B840A8FE676006193E5BC""",14400,,False,gkb.ch
txt,gkbtest.ch,"""MS=ms38108497""",14400,,False,gkbtest.ch
txt,grkb.ch,"""v=spf1 -all""",14400,,False,grkb.ch
txt,ihfsholding.ch,"""_fdi9nljshjh1zaaxzazbnou1b65dnz9""",60,,False,ihfsholding.ch
txt,ihfsholding.ch,"""hxxsz68j7ns8l72hr6g6njqrm24wffbw""",60,,False,ihfsholding.ch
txt,ihfsholding.ch,"""QuoVadis=404bd72d-fa72-473e-99f1-66828ad16cd0""",60,,False,ihfsholding.ch
txt,ihfsholding.ch,"""MS=ms10034171""",60,,False,ihfsholding.ch
txt,ihfsholding.ch,"""v=spf1 mx ip4:195.65.190.41 ip4:195.65.190.46 ip4:195.65.190.2 ip4:185.178.61.56 ip4:185.178.61.57 ip4:185.178.61.58 ip4:185.178.61.59 ip4:185.178.61.229 ip4:195.65.190.38 include:spf.protection.outlook.com -all""",60,,False,ihfsholding.ch
txt,inventx-dev.ch,"""swisssign-check=mxsD8jVibEm8cOyLJA3jWqB15v4""",300,,False,inventx-dev.ch
txt,inventx.ch,"""miro-verification=7aaa1578126e487bc2950c6f31b23d1853a598cb""",14400,,False,inventx.ch
txt,inventx.ch,"""d365mktkey=zkwALwMF1urumrWDCh2oFu6fGyfZUMscv6q9gHX2AHgx""",14400,,False,inventx.ch
txt,inventx.ch,"""google-site-verification=hb9EJPJcR5UxpW5J4QElzgHZKKc4UcUzoXJOFQM52YQ""",14400,,False,inventx.ch
