type,name,address,ttl,comment,disabled,zone
a,uia-prod.inventx.ch,185.178.61.78,120,,False,inventx.ch
a,uia-test.inventx.ch,185.178.61.79,300,,False,inventx.ch
a,vault.inventx.ch,185.178.60.78,14400,,False,inventx.ch
a,vpn2corp.inventx.ch,185.178.61.252,14400,,False,inventx.ch
a,vpn2corp-test.inventx.ch,185.178.61.239,14400,,False,inventx.ch
a,webconf.inventx.ch,193.192.241.218,14400,,False,inventx.ch
a,wp.inventx.ch,185.178.61.51,14400,,False,inventx.ch
a,wp-tst.inventx.ch,185.178.61.50,14400,,False,inventx.ch
a,www.inventx.ch,34.65.165.226,14400,,False,inventx.ch
a,inventx.com,34.65.165.226,14400,,False,inventx.com
a,inventx.li,34.65.165.226,28800,,False,inventx.li
a,inventx.swiss,34.65.165.226,14400,,False,inventx.swiss
a,api.ixcloud.ch,185.178.62.65,60,,False,ixcloud.ch
a,api-test.ixcloud.ch,185.178.60.123,3600,,False,ixcloud.ch
a,aqua-gw.ixcloud.ch,185.178.60.95,3600,,False,ixcloud.ch
a,aqualogs.ixcloud.ch,185.178.62.58,3600,,False,ixcloud.ch
a,certificates.ixcloud.ch,185.178.60.121,3600,,False,ixcloud.ch
a,certificates-tst.ixcloud.ch,185.178.60.120,3600,,False,ixcloud.ch
a,codequality.ixcloud.ch,185.178.62.68,3600,,False,ixcloud.ch
a,dns1.ixcloud.ch,185.178.60.106,3600,,False,ixcloud.ch
a,dns2.ixcloud.ch,185.178.62.106,3600,,False,ixcloud.ch
a,docs.ixcloud.ch,185.178.62.67,60,,False,ixcloud.ch
a,docs-test.ixcloud.ch,185.178.62.85,3600,,False,ixcloud.ch
a,gitlab.ixcloud.ch,185.178.60.66,3600,,False,ixcloud.ch
a,iam.ixcloud.ch,185.178.60.94,3600,,False,ixcloud.ch
a,iam-tst.ixcloud.ch,185.178.60.93,3600,,False,ixcloud.ch
a,identity.ixcloud.ch,185.178.62.66,60,,False,ixcloud.ch
a,identity-test.ixcloud.ch,185.178.60.124,3600,,False,ixcloud.ch
a,idm.ixcloud.ch,185.178.62.88,3600,,False,ixcloud.ch
a,idmtst.ixcloud.ch,185.178.62.89,3600,,False,ixcloud.ch
a,in-ja.ixcloud.ch,185.178.60.29,3600,,False,ixcloud.ch
a,in-ja-test.ixcloud.ch,185.178.60.30,3600,,False,ixcloud.ch
a,calanda.md.ixcloud.ch,185.178.60.35,60,,False,ixcloud.ch
a,sentisaki.md.ixcloud.ch,185.178.60.116,60,,False,ixcloud.ch
a,sentisrcb.md.ixcloud.ch,185.178.60.115,60,,False,ixcloud.ch
a,messroboter.ixcloud.ch,185.178.60.96,3600,,False,ixcloud.ch
a,mfa-service.ixcloud.ch,185.178.60.23,3600,,False,ixcloud.ch
a,monitor.ixcloud.ch,185.178.60.90,60,,False,ixcloud.ch
a,monitoring.ixcloud.ch,185.178.60.90,300,,False,ixcloud.ch
a,mx1.ixcloud.ch,185.178.60.8,3600,,False,ixcloud.ch
a,mx2.ixcloud.ch,185.178.60.9,3600,,False,ixcloud.ch
a,orchestrator.ixcloud.ch,185.178.60.72,3600,,False,ixcloud.ch
a,orchestrator-test.ixcloud.ch,185.178.60.72,3600,,False,ixcloud.ch
a,pam.ixcloud.ch,185.178.60.86,3600,,False,ixcloud.ch
a,portal.ixcloud.ch,185.178.62.64,60,,False,ixcloud.ch
a,portal-test.ixcloud.ch,185.178.60.122,3600,,False,ixcloud.ch
a,probe.ixcloud.ch,185.178.60.254,3600,,False,ixcloud.ch
a,rancher-dev.ixcloud.ch,185.178.60.82,3600,,False,ixcloud.ch
a,registry.ixcloud.ch,185.178.60.70,3600,,False,ixcloud.ch
a,registry-mirror.ixcloud.ch,185.178.62.74,3600,,False,ixcloud.ch
a,remotea.ixcloud.ch,185.178.60.77,3600,,False,ixcloud.ch
a,remoteb.ixcloud.ch,185.178.60.77,3600,,False,ixcloud.ch
a,repo.ixcloud.ch,185.178.60.125,3600,,False,ixcloud.ch
a,rest-api-01.ixcloud.ch,185.178.60.91,3600,,False,ixcloud.ch
a,rest-api-02.ixcloud.ch,185.178.60.92,3600,,False,ixcloud.ch
a,s3.ixcloud.ch,185.178.60.68,3600,,False,ixcloud.ch
a,sam.ixcloud.ch,185.178.60.85,3600,,False,ixcloud.ch
a,sandbox.ixcloud.ch,185.178.60.5,3600,,False,ixcloud.ch
a,finnova-tst.infer-tst.sps.ixcloud.ch,185.178.62.103,3600,,False,ixcloud.ch
a,shared-modelserving.infer-tst.sps.ixcloud.ch,185.178.62.103,3600,,False,ixcloud.ch
a,seed-ix-geo-02.anyk8s.ix.k8s.sps.ixcloud.ch,185.178.61.190,3600,,False,ixcloud.ch
a,pki.sps.ixcloud.ch,185.178.62.101,3600,,False,ixcloud.ch
a,*.pki.sps.ixcloud.ch,185.178.62.101,3600,,False,ixcloud.ch
a,tst.broker-1.streaming.sps.ixcloud.ch,185.178.61.162,3600,,False,ixcloud.ch
a,tst.broker-2.streaming.sps.ixcloud.ch,185.178.61.162,3600,,False,ixcloud.ch
a,tst.broker-3.streaming.sps.ixcloud.ch,185.178.61.162,3600,,False,ixcloud.ch
a,tst.schema-registry.streaming.sps.ixcloud.ch,185.178.61.162,3600,,False,ixcloud.ch
a,*.pki.sps-tst.ixcloud.ch,185.178.62.103,3600,,False,ixcloud.ch
a,tosca-licence.ixcloud.ch,185.178.60.71,3600,,False,ixcloud.ch
a,tracing.ixcloud.ch,185.178.60.75,3600,,False,ixcloud.ch
a,vault.ixcloud.ch,185.178.60.87,3600,,False,ixcloud.ch
a,wp-appkb.ixcloud.ch,185.178.60.107,3600,,False,ixcloud.ch
a,wp-cli.ixcloud.ch,185.178.60.97,3600,,False,ixcloud.ch
a,wp-extern.ixcloud.ch,185.178.60.23,3600,,False,ixcloud.ch
a,wp-ix.ixcloud.ch,185.178.60.109,3600,,False,ixcloud.ch
a,wp-kpt.ixcloud.ch,185.178.60.114,3600,,False,ixcloud.ch
a,wp-ofp.ixcloud.ch,185.178.60.108,3600,,False,ixcloud.ch
a,wp-rcb.ixcloud.ch,185.178.60.113,3600,,False,ixcloud.ch
